trip_id,route_id,origin_stop_name,destination_stop_name,origin_stop_lat,origin_stop_lon,destination_stop_lat,destination_stop_lon,n_stops,duration_minutes,country
ES 496,238,Paris Gare du Nord,Berlin Hbf,48.88084869999999,2.3555021,52.5250839,13.369402,3,974.0,FR
ES 497,238,Berlin Hbf,Paris Gare du Nord,52.5250839,13.369402,48.88084869999999,2.3555021,3,929.0,DE
FS IC Notte 1954,101,Palermo Centrale,Roma Termini,38.109418,13.367472,41.900493,12.502788,6,750.0,IT
FS IC Notte 1955 (P),101,Roma Termini,Palermo Centrale,41.900493,12.502788,38.109418,13.367472,7,773.0,IT
FS IC Notte 1958,102,Palermo Centrale,Roma Termini,38.109418,13.367472,41.900493,12.502788,7,761.0,IT
FS IC Notte 1959 (P),102,Roma Termini,Palermo Centrale,41.900493,12.502788,38.109418,13.367472,6,777.0,IT
FS IC Notte 1955 (S),103,Roma Termini,Siracusa,41.900493,12.502788,37.068907,15.281734,7,750.0,IT
FS IC Notte 1956,103,Siracusa,Roma Termini,37.068907,15.281734,41.900493,12.502788,6,728.0,IT
FS IC Notte 1959 (S),104,Roma Termini,Siracusa,41.900493,12.502788,37.068907,15.281734,6,749.0,IT
FS IC Notte 1960,104,Siracusa,Roma Termini,37.068907,15.281734,41.900493,12.502788,7,726.0,IT
FS IC Notte 1962,85,Siracusa,Milano Centrale,37.068907,15.281734,45.4872723252958,9.20511168635183,9,1235.0,IT
FS IC Notte 1963,85,Milano Centrale,Siracusa,45.4872723252958,9.20511168635183,37.068907,15.281734,9,1178.0,IT
FS IC Notte 1964,84,Palermo Centrale,Milano Centrale,38.109418,13.367472,45.4872723252958,9.20511168635183,9,1272.0,IT
FS IC Notte 1967,84,Milano Centrale,Palermo Centrale,45.4872723252958,9.20511168635183,38.109418,13.367472,9,1245.0,IT
FS IC Notte 752,86,Lecce,Milano Centrale,40.3459376285052,18.1658320632876,45.4872723252958,9.20511168635183,6,682.0,IT
FS IC Notte 755,86,Milano Centrale,Lecce,45.4872723252958,9.20511168635183,40.3459376285052,18.1658320632876,6,700.0,IT
FS IC Notte 754,97,Lecce,Torino Lingotto,40.3459376285052,18.1658320632876,45.0266873957908,7.65695294186049,6,770.0,IT
FS IC Notte 757,97,Torino Lingotto,Lecce,45.0266873957908,7.65695294186049,40.3459376285052,18.1658320632876,6,792.0,IT
FS IC Notte 758,76,Lecce,Milano Centrale,40.3459376285052,18.1658320632876,45.4872723252958,9.20511168635183,7,754.0,IT
FS IC Notte 765,76,Milano Centrale,Bari Centrale,45.4872723252958,9.20511168635183,41.1180660412934,16.8706136891249,4,585.0,IT
FS IC Notte 763,106,Bolzano / Bozen,Roma Termini,46.49638,11.358787,41.900493,12.502788,4,516.0,IT
FS IC Notte 764,106,Roma Termini,Bolzano / Bozen,41.900493,12.502788,46.49638,11.358787,4,503.0,IT
FS IC Notte 770,105,Trieste Centrale,Roma Termini,45.6578804474218,13.7725062612152,41.900493,12.502788,5,684.0,IT
FS IC Notte 774,105,Roma Termini,Trieste Centrale,41.900493,12.502788,45.6578804474218,13.7725062612152,4,680.0,IT
FS IC Notte 788,96,Lecce,Roma Termini,40.3459376285052,18.1658320632876,41.900493,12.502788,4,475.0,IT
FS IC Notte 789,96,Roma Termini,Lecce,41.900493,12.502788,40.3459376285052,18.1658320632876,4,492.0,IT
FS IC Notte 794,100,Reggio Calabria Centrale,Torino Lingotto,38.1045347674554,15.636461838455,45.0266873957908,7.65695294186049,11,1009.0,IT
FS IC Notte 795,100,Torino Lingotto,Reggio Calabria Centrale,45.0266873957908,7.65695294186049,38.1045347674554,15.636461838455,11,1036.0,IT
FS IC Notte 796,99,Salerno,Torino Lingotto,40.675308,14.772558,45.0266873957908,7.65695294186049,7,820.0,IT
FS IC Notte 1515,99,Torino Lingotto,Salerno,45.0266873957908,7.65695294186049,40.675308,14.772558,8,768.0,IT
FS IC Notte 797,83,Torino Porta Susa,Salerno,45.0717556151741,7.66639243552998,40.675308,14.772558,5,786.0,IT
FS IC Notte 798,83,Salerno,Torino Porta Susa,40.675308,14.772558,45.0717556151741,7.66639243552998,6,747.0,IT
HŽPP/ÖBB EN 40237,57,Stuttgart Hbf,Zagreb Gl. K.,48.784084,9.181635,45.8048897336952,15.9796138885481,8,850.0,DE
MÁV EN 40457,58,Berlin Hbf,Budapest Nyugati,52.5250839,13.369402,47.5113315748478,19.0586602310782,9,788.0,DE
MÁV/ÖBB EN 50462,54,Stuttgart Hbf,Budapest Keleti,48.784084,9.181635,47.5005944491753,19.0842564299295,12,770.0,DE
ÖBB NJ 235,231,La Spezia Centrale,Wien Hbf,44.11169,9.813674,48.185101,16.377113,9,954.0,IT
ÖBB NJ 236,53,Venezia Santa Lucia,Stuttgart Hbf,45.441393,12.320459,48.784084,9.181635,8,741.0,IT
ÖBB NJ 237,53,Stuttgart Hbf,Venezia Santa Lucia,48.784084,9.181635,45.441393,12.320459,8,753.0,DE
ÖBB NJ 294,49,Roma Tiburtina,München Hbf,41.911073,12.531457,48.141609,11.55794,7,912.0,IT
ÖBB NJ 295,49,München Hbf,Roma Termini,48.141609,11.55794,41.900493,12.502788,7,780.0,DE
ÖBB NJ 40294,232,Roma Tiburtina,Wien Hbf,41.911073,12.531457,48.185101,16.377113,6,882.0,IT
ÖBB NJ 40235,51,Milano Lambrate,München Hbf,45.4848672617998,9.23720183173717,48.141609,11.55794,6,748.0,IT
ÖBB NJ 40295,51,München Hbf,Milano Lambrate,48.141609,11.55794,45.4848672617998,9.23720183173717,7,683.0,DE
ÖBB NJ 40236,233,Venezia Santa Lucia,Wien Hbf,45.441393,12.320459,48.185101,16.377113,7,672.0,IT
ÖBB NJ 40491,18,Hamburg Altona,Innsbruck Hbf,53.5522545,9.9349557,47.263366751634,11.4011125024768,15,798.0,DE
ÖBB NJ 40424,260,Berlin Ostbahnhof,Paris Est,52.511013,13.43461,48.876976,2.35912,6,883.0,DE
ÖBB NJ 40469,260,Paris Est,Berlin Hbf,48.876976,2.35912,52.5250839,13.369402,7,794.0,FR
ÖBB NJ 408,2,Berlin Hbf,Zürich HB,52.5250839,13.369402,47.378177,8.540212,14,721.0,DE
ÖBB NJ 457,50,Berlin Hbf,Graz Hbf,52.5250839,13.369402,47.072297,15.416437,18,879.0,DE
ÖBB NJ 471,5,Hamburg Altona,Zürich HB,53.5522545,9.9349557,47.378177,8.540212,11,733.0,DE
ÖBB NJ 491,17,Hamburg Altona,Wien Hbf,53.5522545,9.9349557,48.185101,16.377113,15,801.0,DE
PKP/ČD EN 40416,118,München Hbf,Przemyśl Gł.,48.141609,11.55794,49.783664,22.776364,24,935.0,DE
SJ EN 346,78,Berlin Hbf,Stockholm C,52.5250839,13.369402,59.33001,18.05763,12,921.0,DE
SNCF IC Nuit 3750,264,Toulouse Matabiau,Paris Austerlitz,43.6112147987663,1.45368916123639,48.8418493354516,2.36645813606626,4,679.0,FR
SNCF IC Nuit 3751,264,Paris Austerlitz,Toulouse Matabiau,48.8418493354516,2.36645813606626,43.6112147987663,1.45368916123639,4,571.0,FR
SNCF IC Nuit 3731,111,Tarbes,Paris Austerlitz,43.2399738812641,0.0693915631637628,48.8418493354516,2.36645813606626,6,752.0,FR
SNCF IC Nuit 3740,111,Paris Austerlitz,Tarbes,48.8418493354516,2.36645813606626,43.2399738812641,0.0693915631637628,6,716.0,FR
SNCF IC Nuit 3754,119,Rodez,Paris Austerlitz,44.36277,2.580388,48.8418493354516,2.36645813606626,4,613.0,FR
SNCF IC Nuit 3755,119,Paris Austerlitz,Rodez,48.8418493354516,2.36645813606626,44.36277,2.580388,4,701.0,FR
SNCF IC Nuit 3754 (Sun),109,Albi Ville,Paris Austerlitz,43.9244506867034,2.13816736492265,48.8418493354516,2.36645813606626,5,702.0,FR
SNCF IC Nuit 3755 (Sun),109,Paris Austerlitz,Albi Ville,48.8418493354516,2.36645813606626,43.9244506867034,2.13816736492265,5,815.0,FR
SNCF IC Nuit 3789,262,Paris Austerlitz,Aurillac,48.8418493354516,2.36645813606626,44.9212044634116,2.43622547274664,5,728.0,FR
SNCF IC Nuit 3790,262,Aurillac,Paris Austerlitz,44.9212044634116,2.43622547274664,48.8418493354516,2.36645813606626,5,651.0,FR
SNCF IC Nuit 3970,112,Latour-de-Carol,Paris Austerlitz,42.4592253628871,1.90519327061048,48.8418493354516,2.36645813606626,4,735.0,FR
SNCF IC Nuit 3971,112,Paris Austerlitz,Latour-de-Carol,48.8418493354516,2.36645813606626,42.4592253628871,1.90519327061048,4,747.0,FR
SNCF IC Nuit 5737,110,Paris Austerlitz,Cerbère,48.8418493354516,2.36645813606626,42.442771,3.165528,7,786.0,FR
SNCF IC Nuit 5738,110,Cerbère,Paris Austerlitz,42.442771,3.165528,48.8418493354516,2.36645813606626,7,837.0,FR
SNCF IC Nuit 5781,108,Paris Austerlitz,Nice Ville,48.8418493354516,2.36645813606626,43.7048414938809,7.26196743287785,5,754.0,FR
SNCF IC Nuit 5772,108,Nice Ville,Paris Austerlitz,43.7048414938809,7.26196743287785,48.8418493354516,2.36645813606626,5,853.0,FR
SNCF IC Nuit 5787,107,Paris Austerlitz,Briançon,48.8418493354516,2.36645813606626,44.889614,6.632627,4,690.0,FR
SNCF IC Nuit 5792,107,Briançon,Paris Austerlitz,44.889614,6.632627,48.8418493354516,2.36645813606626,4,730.0,FR
ST 301,77,Berlin Hbf,Stockholm C,52.5250839,13.369402,59.33001,18.05763,11,970.0,DE
UEX 321/325,252,Hamburg Altona,Villach Hbf,53.5522545,9.9349557,46.618624,13.848536,8,818.0,DE
UEX 303/323,253,Hamburg Altona,Innsbruck Hbf,53.5522545,9.9349557,47.263366751634,11.4011125024768,9,729.0,DE
UEX 1856,254,München Ost,Hamburg Altona,48.1275616736443,11.6053894330465,53.5522545,9.9349557,6,587.0,DE
UEX 1857,254,Hamburg Altona,München Ost,53.5522545,9.9349557,48.1275616736443,11.6053894330465,5,588.0,DE
UEX 1858,255,Lörrach Hbf,Hamburg Altona,47.6138938,7.664990800000001,53.5522545,9.9349557,7,659.0,DE
UEX 1859,255,Hamburg Altona,Lörrach Hbf,53.5522545,9.9349557,47.6138938,7.664990800000001,6,633.0,DE
UEX 333/1373,256,Düsseldorf Hbf,Innsbruck Hbf,51.221199,6.79271,47.263366751634,11.4011125024768,9,700.0,DE
UEX 335/1375,257,Düsseldorf Hbf,Villach Hbf,51.221199,6.79271,46.618624,13.848536,7,765.0,DE
